Training started at: 2025-06-21 17:10:11
----------------------------------------------------------------------
Episode   Total Reward        Episode Length      Goal Voltage        
----------------------------------------------------------------------
1         238.6302            600                 30.0000             
2         207.2381            600                 30.0000             
3         215.0608            600                 30.0000             
4         269.0633            600                 30.0000             
5         311.3155            600                 30.0000             
6         284.8059            600                 30.0000             
7         222.9361            600                 30.0000             
8         246.7772            600                 30.0000             
9         240.3643            600                 30.0000             
10        255.7188            600                 30.0000             
11        289.4253            600                 30.0000             
12        307.2144            600                 30.0000             
13        316.1092            600                 30.0000             
14        149.9437            600                 30.0000             
15        260.8313            600                 30.0000             
16        281.3907            600                 30.0000             
17        359.4355            600                 30.0000             
18        294.0119            600                 30.0000             
19        189.0650            600                 30.0000             
20        329.3923            600                 30.0000             
21        292.0045            600                 30.0000             
22        303.6751            600                 30.0000             
23        361.8310            600                 30.0000             
24        233.8604            600                 30.0000             
25        320.4726            600                 30.0000             
26        309.3877            600                 30.0000             
27        284.0524            600                 30.0000             
28        376.9875            600                 30.0000             
29        360.8638            600                 30.0000             
30        364.5584            600                 30.0000             
31        287.0210            600                 30.0000             
32        335.0960            600                 30.0000             
33        325.0262            600                 30.0000             
34        309.4201            600                 30.0000             
35        372.4445            600                 30.0000             
36        391.6446            600                 30.0000             
37        333.4125            600                 30.0000             
38        344.9645            600                 30.0000             
39        358.3339            600                 30.0000             
40        347.5570            600                 30.0000             
41        394.9352            600                 30.0000             
--- Continuation training started at: 2025-06-22 12:09:16 ---
42        396.8611            600                 30.0000             
43        413.7705            600                 30.0000             
44        383.1142            600                 30.0000             
45        431.9592            600                 30.0000             
46        388.3975            600                 30.0000             
47        418.2088            600                 30.0000             
48        415.5834            600                 30.0000             
49        414.7178            600                 30.0000             
50        451.3127            600                 30.0000             
51        396.4608            600                 30.0000             
52        414.8571            600                 30.0000             
53        401.8844            600                 30.0000             
54        397.0299            600                 30.0000             
55        442.5155            600                 30.0000             
56        456.7646            600                 30.0000             
57        432.1037            600                 30.0000             
58        419.9837            600                 30.0000             
59        418.8569            600                 30.0000             
60        411.2239            600                 30.0000             
61        442.1038            600                 30.0000             
62        470.4346            600                 30.0000             
63        448.8045            600                 30.0000             
64        428.0963            600                 30.0000             
65        451.1081            600                 30.0000             
66        426.0592            600                 30.0000             
67        425.3708            600                 30.0000             
68        456.8929            600                 30.0000             
69        454.2841            600                 30.0000             
70        467.8815            600                 30.0000             
71        451.1244            600                 30.0000             
72        489.2867            600                 30.0000             
73        446.5141            600                 30.0000             
74        451.4827            600                 30.0000             
75        476.4489            600                 30.0000             
76        441.7765            600                 30.0000             
77        426.6667            600                 30.0000             
78        475.2644            600                 30.0000             
79        455.2377            600                 30.0000             
80        460.7085            600                 30.0000             
81        487.7102            600                 30.0000             
82        487.7774            600                 30.0000             
----------------------------------------------------------------------
Continuation training finished at: 2025-06-23 03:26:24

--- Continuation training started at: 2025-06-23 12:43:53 ---
83        479.0221            600                 30.0000             
84        464.8937            600                 30.0000             
85        497.4907            600                 30.0000             
86        497.5723            600                 30.0000             
87        488.9252            600                 30.0000             
