Training started at: 2025-06-15 17:07:39
----------------------------------------------------------------------
Episode   Total Reward        Episode Length      Goal Voltage        
----------------------------------------------------------------------
1         -3093.5118          600                 -37.8804            
2         -3003.2210          223                 -34.6168            
3         -388.0515           51                  -41.1353            
4         -1986.1994          126                 -36.9118            
5         -2507.4629          134                 -44.2651            
6         -1987.4777          134                 -36.6937            
7         -2008.3503          172                 -46.3922            
8         -2021.3664          131                 -48.8079            
9         -1451.6450          111                 -33.9186            
10        -409.1857           51                  -47.8994            
11        -1811.7110          133                 -31.9167            
12        -358.2590           59                  -38.0006            
13        -2741.8167          185                 -48.7407            
14        -1582.9680          123                 -47.9843            
15        -1557.7000          134                 -35.8129            
16        -456.4079           51                  -43.3114            
17        -1933.6963          164                 -48.5370            
18        -2249.5370          169                 -45.0165            
19        -2207.1634          182                 -45.2718            
20        -2121.8516          175                 -47.8516            
21        -1852.1630          164                 -47.8429            
22        -2424.8416          180                 -46.4772            
23        -1927.5129          172                 -29.4502            
24        -287.4615           51                  -48.5045            
25        -2072.1217          162                 -46.8364            
26        -2789.4455          185                 -28.6590            
27        -202.0122           51                  -47.9712            
28        -1731.6855          170                 -34.3957            
29        -4353.5454          462                 -46.8793            
30        -2207.0227          190                 -37.7707            
31        -2682.3542          195                 -48.0553            
32        -1612.2400          159                 -39.8369            
33        -2547.3036          190                 -32.0554            
34        -6170.5130          600                 -29.4012            
35        -190.4922           55                  -29.3545            
36        -164.4383           51                  -35.1477            
37        -2215.3872          195                 -31.9710            
38        -5517.6754          600                 -36.4640            
39        -2132.8286          185                 -28.4474            
40        -213.9306           51                  -36.4229            
41        -2191.7119          172                 -31.7502            
42        -6192.5379          600                 -46.4453            
43        -2573.4893          210                 -33.5901            
44        -4273.9045          600                 -31.8804            
45        -6089.3462          600                 -35.3667            
46        -2623.3107          205                 -43.2630            
47        -2145.1189          190                 -42.9392            
48        -2224.4119          185                 -39.8738            
49        -2753.4132          213                 -39.8061            
50        -2243.8323          200                 -31.0221            
51        -5865.3795          600                 -40.1407            
52        -1969.0606          185                 -28.5978            
53        -6032.7824          600                 -44.4071            
54        -2083.4238          180                 -33.9477            
55        -4275.3196          600                 -45.2624            
56        -2101.8600          177                 -34.5079            
57        -4648.8793          600                 -44.4272            
58        -2272.6357          190                 -45.9328            
59        -2066.0478          172                 -48.1496            
60        -1861.5924          177                 -34.3576            
61        -6084.2074          600                 -34.4001            
62        -5845.0160          600                 -39.6450            
63        -2356.9623          190                 -38.7269            
64        -2469.4873          213                 -33.3137            
65        -5225.5223          600                 -40.8703            
66        -2330.5646          195                 -33.0715            
67        -5176.9343          600                 -36.6036            
68        -3432.5645          459                 -40.3569            
69        -2580.6072          213                 -46.7794            
70        -2114.0038          177                 -30.8458            
71        -5423.0524          600                 -42.6175            
72        -2214.9457          190                 -40.8723            
73        -2339.4313          195                 -40.1062            
74        -2193.0657          185                 -38.1457            
75        -2514.4239          193                 -38.7755            
76        -1731.6484          167                 -38.3604            
77        -1783.5858          177                 -43.9820            
78        -2083.1030          185                 -39.9622            
79        -2303.0610          193                 -43.9026            
80        -2709.8853          208                 -40.0258            
81        -2563.6268          193                 -36.5771            
82        -3650.1341          393                 -28.7201            
83        -4237.7144          600                 -36.3057            
84        -2501.8383          264                 -45.5488            
85        -2445.1592          195                 -29.2472            
86        -6011.3152          600                 -40.0869            
87        -2068.2224          188                 -46.3292            
88        -1633.5698          157                 -31.5396            
89        -5426.4009          600                 -43.9595            
90        -2372.5767          200                 -43.8722            
91        -2117.8996          180                 -37.1066            
92        -2013.7997          187                 -36.9584            
93        -1928.4252          188                 -31.0870            
94        -5655.8921          600                 -40.3598            
95        -2620.1641          213                 -44.2211            
96        -2715.7392          203                 -38.0556            
97        -2318.8131          195                 -46.0663            
98        -2078.4008          170                 -37.3632            
99        -2045.1657          180                 -31.7555            
100       -5452.2897          600                 -31.2993            
101       -6143.9465          600                 -29.8877            
102       -6100.7256          600                 -34.2799            
103       -6220.9578          600                 -37.2779            
104       -2895.9216          211                 -31.0166            
105       -6279.4503          600                 -36.6008            
106       -2521.9978          231                 -29.5048            
107       -6009.9151          600                 -28.6360            
108       -6065.9628          600                 -30.7014            
109       -6269.6343          600                 -30.3272            
110       -6267.9694          600                 -36.9886            
111       -2756.0306          200                 -41.9734            
112       -535.5237           51                  -34.4765            
113       -6537.6301          600                 -39.5089            
114       -2437.4377          206                 -47.5652            
115       -1676.0743          144                 -44.9958            
116       -2512.7838          177                 -46.5237            
117       -2595.7595          190                 -40.8552            
118       -2360.9683          198                 -39.6721            
119       -483.8681           51                  -37.6343            
120       -3178.4036          208                 -34.7617            
121       -6551.9931          600                 -45.6182            
122       -2492.4194          185                 -28.6466            
123       -6215.0177          600                 -34.5074            
124       -6499.3692          600                 -34.4728            
125       -6365.8370          600                 -38.4859            
126       -2305.5869          183                 -28.3505            
127       -6222.1229          600                 -40.2845            
128       -2065.5527          180                 -41.9977            
129       -2309.4324          185                 -43.0018            
130       -2297.0042          185                 -45.2185            
131       -2350.1885          177                 -42.1130            
