episode,time_s,voltage_v,duty_cycle
1.000000000000000000e+00,0.000000000000000000e+00,-1.893242001512258410e+00,4.570840001106262207e-01
1.000000000000000000e+00,1.300000000000000157e-04,-5.630797055503247606e+00,3.842988610267639160e-01
1.000000000000000000e+00,2.600000000000000314e-04,-1.087723721047561654e+01,3.030115365982055664e-01
1.000000000000000000e+00,3.900000000000000471e-04,-1.683593542841790480e+01,1.001394763588905334e-01
1.000000000000000000e+00,5.200000000000000629e-04,-2.105243994156933951e+01,1.000000014901161194e-01
1.000000000000000000e+00,6.500000000000000786e-04,-2.302676061882381475e+01,1.000000014901161194e-01
1.000000000000000000e+00,7.800000000000000943e-04,-2.286780203161272951e+01,1.036044135689735413e-01
1.000000000000000000e+00,9.100000000000001100e-04,-2.372310670947445743e+01,5.182054638862609863e-01
1.000000000000000000e+00,1.040000000000000126e-03,-2.513959361260594605e+01,2.828221321105957031e-01
1.000000000000000000e+00,1.170000000000000033e-03,-2.510903333361414624e+01,1.258575469255447388e-01
1.000000000000000000e+00,1.300000000000000157e-03,-2.592806306991299792e+01,5.828231573104858398e-01
1.000000000000000000e+00,1.430000000000000281e-03,-2.767730014130854599e+01,3.003060519695281982e-01
1.000000000000000000e+00,1.560000000000000189e-03,-2.769802223524339624e+01,1.000291332602500916e-01
1.000000000000000000e+00,1.690000000000000096e-03,-2.841142105398937190e+01,5.880966186523437500e-01
1.000000000000000000e+00,1.820000000000000220e-03,-3.000733651884490172e+01,3.241761624813079834e-01
1.000000000000000000e+00,1.950000000000000344e-03,-2.986007176357897208e+01,1.000000014901161194e-01
1.000000000000000000e+00,2.080000000000000251e-03,-2.985305203211505543e+01,3.660762608051300049e-01
1.000000000000000000e+00,2.210000000000000159e-03,-2.986174097750125256e+01,3.694008886814117432e-01
1.000000000000000000e+00,2.340000000000000066e-03,-2.986460896897318662e+01,3.682562112808227539e-01
1.000000000000000000e+00,2.470000000000000407e-03,-2.985788814212288855e+01,3.661973774433135986e-01
1.000000000000000000e+00,2.600000000000000314e-03,-2.985710265300257049e+01,3.674174249172210693e-01
1.000000000000000000e+00,2.730000000000000222e-03,-2.986208182457366789e+01,3.686552643775939941e-01
1.000000000000000000e+00,2.860000000000000563e-03,-2.986167577089926439e+01,3.675506711006164551e-01
1.000000000000000000e+00,2.990000000000000470e-03,-2.985816519166333194e+01,3.668678998947143555e-01
1.000000000000000000e+00,3.120000000000000377e-03,-2.985909378496032218e+01,3.677933514118194580e-01
1.000000000000000000e+00,3.250000000000000284e-03,-2.986135980789293498e+01,3.680942356586456299e-01
1.000000000000000000e+00,3.380000000000000192e-03,-2.986032418453678616e+01,3.674048781394958496e-01
1.000000000000000000e+00,3.510000000000000533e-03,-2.985893485327864738e+01,3.673152625560760498e-01
1.000000000000000000e+00,3.640000000000000440e-03,-2.985999830476731276e+01,3.678318858146667480e-01
1.000000000000000000e+00,3.770000000000000347e-03,-2.986073858301071127e+01,3.677746057510375977e-01
