time_s,angle_rad
0.0,-0.944298505783081
0.01,-0.944298505783081
0.02,-0.9439753890037537
0.03,-0.9433292150497437
0.04,-0.9423556923866272
0.05,-0.9410464763641357
0.06,-0.9393887519836426
0.07,-0.9373655915260315
0.08,-0.9349552989006042
0.09,-0.9321314096450806
0.1,-0.9288623332977295
0.11,-0.9251110553741455
0.12,-0.920834481716156
0.13,-0.9159831404685974
0.14,-0.9105002880096436
0.15,-0.9043214321136475
0.16,-0.8973733186721802
0.17,-0.88957279920578
0.18,-0.8808260560035706
0.19,-0.8710269331932068
0.2,-0.8600555062294006
0.21,-0.8477763533592224
0.22,-0.8340364694595337
0.23,-0.8186628222465515
0.24,-0.8014594912528992
0.25,-0.7822045683860779
0.26,-0.7606462836265564
0.27,-0.7364984154701233
0.28,-0.7094354033470154
0.29,-0.6916372179985046
0.3,-0.6702305674552917
0.31,-0.6449316740036011
0.32,-0.6289727091789246
0.33,-0.6084654927253723
0.34,-0.5973500609397888
0.35,-0.5811622738838196
0.36,-0.5597119331359863
0.37,-0.5476400852203369
0.38,-0.5297550559043884
0.39,-0.5212501287460327
0.4,-0.5064879655838013
0.41,-0.5010949373245239
0.42,-0.48909643292427063
0.43,-0.48645129799842834
0.44,-0.4769386351108551
0.45,-0.4767639636993408
0.46,-0.46953725814819336
0.47,-0.45524799823760986
0.48,-0.45024874806404114
0.49,-0.4378630816936493
0.5,-0.4347348213195801
0.51,-0.423957884311676
0.52,-0.4224073886871338
0.53,-0.4129982590675354
0.54,-0.41278794407844543
0.55,-0.40455344319343567
0.56,-0.4054943323135376
0.57,-0.398283451795578
0.58,-0.40022924542427063
0.59,-0.3939283788204193
0.6,-0.3967702388763428
0.61,-0.39129936695098877
0.62,-0.39496201276779175
0.63,-0.39027172327041626
0.64,-0.3947104811668396
0.65,-0.3907800018787384
0.66,-0.38435792922973633
0.67,-0.38704925775527954
0.68,-0.38128429651260376
0.69,-0.38462191820144653
0.7,-0.3794567286968231
0.71,-0.38338711857795715
0.72,-0.3787868022918701
0.73,-0.3832787573337555
0.74,-0.379229336977005
0.75,-0.3842724859714508
0.76,-0.3807801902294159
0.77,-0.37468117475509644
0.78,-0.37766382098197937
0.79,-0.3720451593399048
0.8,-0.3754984438419342
0.81,-0.3703107535839081
0.82,-0.37418824434280396
0.83,-0.3693985044956207
0.84,-0.3736700117588043
0.85,-0.3692602813243866
0.86,-0.37391045689582825
0.87,-0.369876891374588
0.88,-0.37490448355674744
0.89,-0.37125706672668457
0.9,-0.3766745924949646
0.91,-0.37343713641166687
0.92,-0.379271000623703
0.93,-0.3764818012714386
0.94,-0.3710310459136963
0.95,-0.37464848160743713
0.96,-0.36960965394973755
0.97,-0.37363335490226746
0.98,-0.36897918581962585
0.99,-0.373384565114975
1.0,-0.36910226941108704
1.01,-0.373879075050354
1.02,-0.36996960639953613
1.03,-0.3751213252544403
1.04,-0.3715992569923401
1.05,-0.377142995595932
1.06,-0.37403663992881775
1.07,-0.3682449460029602
1.08,-0.37151259183883667
1.09,-0.3660827577114105
1.1,-0.36970415711402893
1.11,-0.36459556221961975
1.12,-0.36853232979774475
1.13,-0.3637166917324066
1.14,-0.3679426610469818
1.15,-0.3634028732776642
1.16,-0.3679029643535614
1.17,-0.36363229155540466
1.18,-0.3684016764163971
1.19,-0.3644034266471863
1.2,-0.369447261095047
1.21,-0.3657345771789551
1.22,-0.37106791138648987
1.23,-0.3676641285419464
1.24,-0.3733123242855072
1.25,-0.37025168538093567
1.26,-0.3762510418891907
1.27,-0.37357959151268005
1.28,-0.3682131767272949
1.29,-0.37190520763397217
1.3,-0.36689889430999756
1.31,-0.3709457218647003
1.32,-0.36627429723739624
1.33,-0.37065309286117554
1.34,-0.3663039803504944
1.35,-0.37100446224212646
1.36,-0.36697712540626526
1.37,-0.37200093269348145
1.38,-0.3683065176010132
1.39,-0.37366703152656555
1.4,-0.3703286945819855
1.41,-0.3760513365268707
1.42,-0.3731047213077545
1.43,-0.3674607574939728
1.44,-0.37087318301200867
1.45,-0.3655763268470764
1.46,-0.36932864785194397
1.47,-0.3643433153629303
1.48,-0.3684022128582001
1.49,-0.3637048006057739
1.5,-0.3680487275123596
1.51,-0.3636265695095062
1.52,-0.3682447671890259
1.53,-0.36409544944763184
1.54,-0.368987500667572
1.55,-0.3651186227798462
1.56,-0.3702940344810486
1.57,-0.3667233884334564
1.58,-0.3722018599510193
1.59,-0.3689577281475067
1.6,-0.3747696280479431
1.61,-0.37189173698425293
1.62,-0.3663022816181183
1.63,-0.36976513266563416
1.64,-0.364501416683197
1.65,-0.36828306317329407
1.66,-0.3633110821247101
1.67,-0.3673796057701111
1.68,-0.3626765310764313
1.69,-0.3670111298561096
1.7,-0.3625643849372864
1.71,-0.3671543598175049
1.72,-0.3629610240459442
1.73,-0.367805153131485
1.74,-0.36387157440185547
1.75,-0.3689780831336975
1.76,-0.3653200566768646
1.77,-0.3707064688205719
1.78,-0.3673495352268219
1.79,-0.37304332852363586
1.8,-0.37002357840538025
1.81,-0.37606289982795715
1.82,-0.37342795729637146
1.83,-0.3680960237979889
1.84,-0.3718220293521881
1.85,-0.3668479025363922
1.86,-0.37092670798301697
1.87,-0.36628642678260803
1.88,-0.37069636583328247
1.89,-0.3663785755634308
1.9,-0.3711105287075043
1.91,-0.36711570620536804
1.92,-0.37217244505882263
1.93,-0.3685130178928375
1.94,-0.3739091157913208
1.95,-0.3706094026565552
1.96,-0.3763715326786041
1.97,-0.3734685182571411
1.98,-0.3678717315196991
1.99,-0.37133267521858215
2.0,-0.3660903871059418
2.01,-0.3698989748954773
2.02,-0.36497750878334045
2.03,-0.3691022992134094
2.04,-0.364480197429657
2.05,-0.36890193819999695
2.06,-0.3645690381526947
2.07,-0.3692796230316162
2.08,-0.3652365505695343
2.09,-0.37023863196372986
2.1,-0.36649659276008606
2.11,-0.371803343296051
2.12,-0.36838436126708984
2.13,-0.3740198612213135
2.14,-0.37095728516578674
2.15,-0.37695714831352234
2.16,-0.3742966949939728
2.17,-0.36894911527633667
2.18,-0.3726624548435211
2.19,-0.3676884174346924
2.2,-0.37177014350891113
2.21,-0.3671453595161438
2.22,-0.37157371640205383
2.23,-0.3672870695590973
2.24,-0.37205326557159424
2.25,-0.3681062161922455
2.26,-0.3732140064239502
2.27,-0.36962026357650757
2.28,-0.3750857710838318
2.29,-0.37187182903289795
2.3,-0.3777238130569458
2.31,-0.37492936849594116
2.32,-0.3694562315940857
2.33,-0.373045951128006
2.34,-0.3679559826850891
2.35,-0.37192296981811523
2.36,-0.3671875298023224
2.37,-0.37150561809539795
2.38,-0.3671094477176666
2.39,-0.37176579236984253
2.4,-0.3677063286304474
2.41,-0.37270063161849976
2.42,-0.3689876198768616
2.43,-0.3743319511413574
2.44,-0.37098756432533264
2.45,-0.37670642137527466
2.46,-0.37376588582992554
2.47,-0.3681352436542511
2.48,-0.37156328558921814
2.49,-0.3662920594215393
2.5,-0.37007245421409607
2.51,-0.365125834941864
2.52,-0.3692260682582855
2.53,-0.3645815849304199
2.54,-0.36898139119148254
2.55,-0.3646280765533447
2.56,-0.36931851506233215
2.57,-0.3652562201023102
2.58,-0.37023913860321045
2.59,-0.36647829413414
2.6,-0.37176620960235596
2.61,-0.36832815408706665
2.62,-0.3739444315433502
2.63,-0.37086182832717896
2.64,-0.37684136629104614
2.65,-0.37415921688079834
2.66,-0.3687886595726013
2.67,-0.3724784851074219
2.68,-0.36747854948043823
2.69,-0.3715337812900543
2.7,-0.36687934398651123
2.71,-0.37127721309661865
2.72,-0.3669561445713043
2.73,-0.3716868758201599
2.74,-0.36769944429397583
2.75,-0.37276557087898254
2.76,-0.369124174118042
2.77,-0.37454041838645935
2.78,-0.3712698817253113
2.79,-0.3770633637905121
2.8,-0.37420153617858887
2.81,-0.36865365505218506
2.82,-0.3721660375595093
2.83,-0.36698684096336365
2.84,-0.3708614408969879
2.85,-0.36601927876472473
2.86,-0.37022683024406433
2.87,-0.36570289731025696
2.88,-0.37022683024406433
2.89,-0.3660142123699188
2.9,-0.3708498477935791
2.91,-0.36695319414138794
2.92,-0.37210726737976074
2.93,-0.3685425817966461
2.94,-0.3740333318710327
2.95,-0.3708285689353943
2.96,-0.376686155796051
2.97,-0.3738817274570465
2.98,-0.3683871030807495
2.99,-0.37195172905921936
3.0,-0.366820752620697
3.01,-0.37074291706085205
3.02,-0.3659457862377167
3.03,-0.37019801139831543
3.04,-0.3657176196575165
3.05,-0.3702850341796875
3.06,-0.36611607670783997
3.07,-0.3709956109523773
3.08,-0.36714431643486023
3.09,-0.37234431505203247
3.1,-0.36882832646369934
3.11,-0.37436866760253906
3.12,-0.37121763825416565
3.13,-0.3771301507949829
3.14,-0.37438639998435974
3.15,-0.36895740032196045
3.16,-0.37258946895599365
3.17,-0.3675343692302704
3.18,-0.37153470516204834
3.19,-0.36682629585266113
3.2,-0.3711701035499573
3.21,-0.36679428815841675
3.22,-0.37146979570388794
3.23,-0.3674248158931732
3.24,-0.37243255972862244
3.25,-0.36872878670692444
3.26,-0.37408146262168884
3.27,-0.37074151635169983
3.28,-0.37646400928497314
3.29,-0.37352341413497925
3.3,-0.36789003014564514
3.31,-0.37131446599960327
3.32,-0.3660360276699066
3.33,-0.3698083162307739
3.34,-0.3648497760295868
3.35,-0.3689371645450592
3.36,-0.3642757833003998
3.37,-0.3686576187610626
3.38,-0.3642818033695221
3.39,-0.3689485788345337
3.4,-0.3648574948310852
3.41,-0.3698103427886963
3.42,-0.3660134971141815
3.43,-0.37126389145851135
3.44,-0.3677814304828644
3.45,-0.3733515441417694
3.46,-0.37021467089653015
3.47,-0.376137912273407
3.48,-0.37338986992836
