time_s,angle_rad
0.0,-0.944298505783081
0.01,-0.944298505783081
0.02,-0.9034503698348999
0.03,-0.8217541575431824
0.04,-0.6993706226348877
0.05,-0.5366469621658325
0.06,-0.41416195034980774
0.07,-0.33278119564056396
0.08,-0.29321572184562683
0.09,-0.2870715260505676
0.1,-0.28348344564437866
0.11,-0.28248992562294006
0.12,-0.28411346673965454
0.13,-0.2883602976799011
0.14,-0.2552202343940735
0.15,-0.2557777762413025
0.16,-0.2591303586959839
0.17,-0.24749669432640076
0.18,-0.23863337934017181
0.19,-0.23261398077011108
0.2,-0.22949470579624176
0.21,-0.22931380569934845
0.22,-0.23209111392498016
0.23,-0.23782777786254883
0.24,-0.22872835397720337
0.25,-0.2225341647863388
0.26,-0.21930307149887085
0.27,-0.21907448768615723
0.28,-0.22186903655529022
0.29,-0.22768816351890564
0.3,-0.21873627603054047
0.31,-0.21275408565998077
0.32,-0.2097986340522766
0.33,-0.20990809798240662
0.34,-0.2131013572216034
0.35,-0.20159992575645447
0.36,-0.19316118955612183
0.37,-0.1878586858510971
0.38,-0.1857464760541916
0.39,-0.18685856461524963
0.4,-0.19120852649211884
0.41,-0.18101143836975098
0.42,-0.17401716113090515
0.43,-0.17029117047786713
0.44,-0.16987843811511993
0.45,-0.17280295491218567
0.46,-0.17906737327575684
0.47,-0.17087508738040924
0.48,-0.1659635752439499
0.49,-0.16438555717468262
0.5,-0.16617265343666077
0.51,-0.17133504152297974
0.52,-0.1620834320783615
0.53,-0.1561623364686966
0.54,-0.15363137423992157
0.55,-0.15452873706817627
0.56,-0.15887075662612915
0.57,-0.14887388050556183
0.58,-0.14228785037994385
0.59,-0.13917720317840576
0.6,-0.1395845264196396
0.61,-0.14352993667125702
0.62,-0.15101079642772675
0.63,-0.14422380924224854
0.64,-0.14089840650558472
0.65,-0.14107844233512878
0.66,-0.14478544890880585
0.67,-0.1520182192325592
0.68,-0.14497503638267517
0.69,-0.141386941075325
0.7,-0.14129942655563354
0.71,-0.14473570883274078
0.72,-0.1516963392496109
0.73,-0.1443813294172287
0.74,-0.14052347838878632
0.75,-0.14017005264759064
0.76,-0.14334601163864136
0.77,-0.15005362033843994
0.78,-0.1424945890903473
0.79,-0.13840331137180328
0.8,-0.13782866299152374
0.81,-0.14079712331295013
0.82,-0.14731238782405853
0.83,-0.1395774632692337
0.84,-0.1353280395269394
0.85,-0.13461410999298096
0.86,-0.13746316730976105
0.87,-0.14387986063957214
0.88,-0.1360679417848587
0.89,-0.13176368176937103
0.9,-0.13101764023303986
0.91,-0.13385768234729767
0.92,-0.14028863608837128
0.93,-0.13251431286334991
0.94,-0.12827089428901672
0.95,-0.12760868668556213
0.96,-0.13055519759655
0.97,-0.13711468875408173
0.98,-0.12949031591415405
0.99,-0.12541736662387848
1.0,-0.12494522333145142
1.01,-0.12810027599334717
1.02,-0.13488559424877167
1.03,-0.1275029480457306
1.04,-0.12368614971637726
1.05,-0.12348303943872452
1.06,-0.12691834568977356
1.07,-0.13399338722229004
1.08,-0.12690812349319458
1.09,-0.12339450418949127
1.1,-0.12349840998649597
1.11,-0.12724263966083527
1.12,-0.13462649285793304
1.13,-0.12784793972969055
1.14,-0.1246369257569313
1.15,-0.12503735721111298
1.16,-0.12907004356384277
1.17,-0.13673239946365356
1.18,-0.13022048771381378
1.19,-0.12726250290870667
1.2,-0.12790057063102722
1.21,-0.13215389847755432
1.22,-0.1400183141231537
1.23,-0.13368850946426392
1.24,-0.1308913379907608
1.25,-0.13166779279708862
1.26,-0.1360359638929367
1.27,-0.12621305882930756
1.28,-0.11994857341051102
1.29,-0.11730612069368362
1.3,-0.1183263286948204
1.31,-0.12302634119987488
1.32,-0.11362175643444061
1.33,-0.10785986483097076
1.34,-0.10580168664455414
1.35,-0.10748463869094849
1.36,-0.11292208731174469
1.37,-0.1043253168463707
1.38,-0.09943679720163345
1.39,-0.0983123704791069
1.4,-0.10098380595445633
1.41,-0.10745840519666672
1.42,-0.09994103759527206
1.43,-0.09616740047931671
1.44,-0.09618634730577469
1.45,-0.10002241283655167
1.46,-0.1076754704117775
1.47,-0.10134280472993851
1.48,-0.0987524688243866
1.49,-0.09994559735059738
1.5,-0.1049390360713005
1.51,-0.0959472507238388
1.52,-0.09071556478738785
1.53,-0.0893024355173111
1.54,-0.0917418822646141
1.55,-0.09804310649633408
1.56,-0.09041246026754379
1.57,-0.08658672869205475
1.58,-0.08661555498838425
1.59,-0.09052383899688721
1.6,-0.09831137955188751
1.61,-0.0921749696135521
1.62,-0.08984173834323883
1.63,-0.09135159850120544
1.64,-0.09671972692012787
1.65,-0.088158518075943
1.66,-0.0834108367562294
1.67,-0.0825323760509491
1.68,-0.08555404096841812
1.69,-0.09248154610395432
1.7,-0.08551745116710663
1.71,-0.08239445090293884
1.72,-0.08315785974264145
1.73,-0.08782801032066345
1.74,-0.0963999330997467
1.75,-0.09106545150279999
1.76,-0.0895465761423111
1.77,-0.0918780043721199
1.78,-0.09806962311267853
1.79,-0.09032848477363586
1.8,-0.08639208972454071
1.81,-0.08631080389022827
1.82,-0.09011022746562958
1.83,-0.0977909043431282
1.84,-0.0915503203868866
1.85,-0.08911629766225815
1.86,-0.0905294269323349
1.87,-0.09580554813146591
1.88,-0.08715768158435822
1.89,-0.08232928067445755
1.9,-0.08137661963701248
1.91,-0.08433113247156143
1.92,-0.09119900315999985
1.93,-0.0841832384467125
1.94,-0.081016905605793
1.95,-0.0817456766963005
1.96,-0.08639015257358551
1.97,-0.09494560211896896
1.98,-0.08960399776697159
1.99,-0.08808746188879013
2.0,-0.09043074399232864
2.01,-0.09664370119571686
2.02,-0.08893332630395889
2.03,-0.08503696322441101
2.04,-0.0850047841668129
2.05,-0.08886214345693588
2.06,-0.09660924971103668
2.07,-0.0904432162642479
2.08,-0.08809143304824829
2.09,-0.08959400653839111
2.1,-0.09496623277664185
2.11,-0.08642056584358215
2.12,-0.08169982582330704
2.13,-0.08085961639881134
2.14,-0.08393067866563797
2.15,-0.09091847389936447
2.16,-0.08402523398399353
2.17,-0.0809832513332367
2.18,-0.08183740079402924
2.19,-0.08660747855901718
2.2,-0.09528792649507523
2.21,-0.09006991237401962
2.22,-0.08867473900318146
2.23,-0.09113634377717972
2.24,-0.09746380895376205
2.25,-0.08986334502696991
2.26,-0.08607157319784164
2.27,-0.08613792061805725
2.28,-0.09008707851171494
2.29,-0.09791860729455948
2.3,-0.09182902425527573
2.31,-0.08954517543315887
2.32,-0.09110666811466217
2.33,-0.09652835875749588
2.34,-0.08802229911088943
2.35,-0.08333101868629456
2.36,-0.082509845495224
2.37,-0.08558931946754456
2.38,-0.09257477521896362
2.39,-0.0856684073805809
2.4,-0.08260252326726913
2.41,-0.08342206478118896
2.42,-0.08814699202775955
2.43,-0.0967719778418541
2.44,-0.09148847311735153
2.45,-0.09001816064119339
2.46,-0.09239540249109268
2.47,-0.09862976521253586
2.48,-0.09092800319194794
2.49,-0.08702734857797623
2.5,-0.08697789162397385
2.51,-0.09080501645803452
2.52,-0.0985090434551239
2.53,-0.09228730201721191
2.54,-0.08986744284629822
2.55,-0.0912899449467659
2.56,-0.09657055139541626
2.57,-0.08792222291231155
2.58,-0.08308838307857513
2.59,-0.08212531358003616
2.6,-0.08506446331739426
2.61,-0.09191210567951202
2.62,-0.0848713368177414
2.63,-0.08167535811662674
2.64,-0.08236999809741974
2.65,-0.0869760662317276
2.66,-0.09548904001712799
2.67,-0.09010114520788193
2.68,-0.08853477984666824
2.69,-0.09082499891519547
2.7,-0.09698199480772018
2.71,-0.08921307325363159
2.72,-0.08525598049163818
2.73,-0.0851612389087677
2.74,-0.0889546200633049
2.75,-0.09663672000169754
2.76,-0.09040509164333344
2.77,-0.08798752725124359
2.78,-0.08942456543445587
2.79,-0.09473193436861038
2.8,-0.08612250536680222
2.81,-0.08133953809738159
2.82,-0.08043903857469559
2.83,-0.08345215767621994
2.84,-0.09038474410772324
2.85,-0.0834394171833992
2.86,-0.08034881949424744
2.87,-0.08115816116333008
2.88,-0.08588756620883942
2.89,-0.09453176707029343
2.9,-0.08928218483924866
2.91,-0.08786036819219589
2.92,-0.09030045568943024
2.93,-0.09661170095205307
2.94,-0.08900045603513718
2.95,-0.08520343899726868
2.96,-0.08527016639709473
2.97,-0.08922534435987473
2.98,-0.09706854820251465
2.99,-0.09099625051021576
3.0,-0.08873521536588669
3.01,-0.09032493084669113
3.02,-0.09578011929988861
3.03,-0.08731264621019363
3.04,-0.08266481757164001
3.05,-0.08189170807600021
3.06,-0.08502358943223953
3.07,-0.0920654833316803
3.08,-0.08521921932697296
3.09,-0.0822167620062828
3.1,-0.08310265839099884
3.11,-0.0878964513540268
3.12,-0.09659237414598465
3.13,-0.09138144552707672
3.14,-0.08998487889766693
3.15,-0.09243655204772949
3.16,-0.09874556958675385
3.17,-0.09111819416284561
3.18,-0.0872911661863327
3.19,-0.08731410652399063
3.2,-0.09121191501617432
3.21,-0.09898443520069122
3.22,-0.09282853454351425
3.23,-0.09047143161296844
3.24,-0.09195316582918167
3.25,-0.0972890630364418
3.26,-0.08869171887636185
3.27,-0.0839041993021965
3.28,-0.08298243582248688
3.29,-0.08595757931470871
3.3,-0.09283564239740372
3.31,-0.08581946790218353
3.32,-0.0826420858502388
3.33,-0.08334914594888687
3.34,-0.0879613384604454
3.35,-0.0964740589261055
3.36,-0.09107950329780579
3.37,-0.0895000770688057
3.38,-0.09177085757255554
3.39,-0.09790213406085968
3.4,-0.09010134637355804
3.41,-0.08610640466213226
3.42,-0.0859680324792862
3.43,-0.0897122398018837
3.44,-0.097339928150177
3.45,-0.0910489484667778
3.46,-0.08856745809316635
3.47,-0.08993638306856155
