time_s,angle_rad
0.0,-0.944298505783081
0.01,-0.944298505783081
0.02,-0.8945615291595459
0.03,-0.7950875163078308
0.04,-0.6461871862411499
0.05,-0.4631473124027252
0.06,-0.3177616596221924
0.07,-0.2109510898590088
0.08,-0.14111842215061188
0.09,-0.10221613198518753
0.1,-0.09018547087907791
0.11,-0.03356184437870979
0.12,-0.015885090455412865
0.13,-0.035267505794763565
0.14,-0.03799136355519295
0.15,-0.025584110990166664
0.16,-0.0341157466173172
0.17,-0.04211597144603729
0.18,-0.04400895908474922
0.19,-0.03035290353000164
0.2,-0.04322086647152901
0.21,-0.053068194538354874
0.22,-0.0627618283033371
0.23,-0.07223276048898697
0.24,-0.0811837837100029
0.25,-0.08866927027702332
0.26,-0.07872744649648666
0.27,-0.05475810542702675
0.28,-0.023161735385656357
0.29,-0.02419641986489296
0.3,-0.010132444091141224
0.31,-0.030384285375475883
0.32,-0.032373856753110886
0.33,-0.019366102293133736
0.34,-0.028933057561516762
0.35,-0.03841554373502731
0.36,-0.04775400832295418
0.37,-0.05686216801404953
0.38,-0.06553613394498825
0.39,-0.07314294576644897
0.4,-0.06531691551208496
0.41,-0.0809217095375061
0.42,-0.08160955458879471
0.43,-0.06423285603523254
0.44,-0.012223628349602222
0.45,0.0006089211092330515
0.46,-0.007749809417873621
0.47,-0.015473566949367523
0.48,-0.015107774175703526
0.49,-0.00031759924604557455
0.5,-0.02400358021259308
0.51,-0.026120875030755997
0.52,-0.013519578613340855
0.53,-0.02191844768822193
0.54,-0.029725028201937675
0.55,-0.029399987310171127
0.56,-0.013196839950978756
0.57,-0.034315694123506546
0.58,-0.03518977388739586
0.59,-0.02025715820491314
0.6,-0.03958199918270111
0.61,-0.0421609990298748
0.62,-0.029435936361551285
0.63,-0.03835657611489296
0.64,-0.046953387558460236
0.65,-0.05492924153804779
0.66,-0.05400096997618675
0.67,-0.04931413382291794
0.68,-0.07193905115127563
0.69,-0.06890682876110077
0.7,-0.10393501073122025
0.71,-0.09411279857158661
0.72,-0.04217609018087387
0.73,-0.027636971324682236
0.74,-0.04405639320611954
0.75,-0.046095289289951324
0.76,-0.03252895921468735
0.77,-0.04394671320915222
0.78,-0.05441112071275711
0.79,-0.06464971601963043
0.8,-0.07459690421819687
0.81,-0.08408942818641663
0.82,-0.09259714931249619
0.83,-0.09358374029397964
0.84,-0.0761401504278183
0.85,-0.014480497688055038
0.86,0.0065059969201684
0.87,-0.012666735798120499
0.88,-0.0163650531321764
0.89,-0.005488113965839148
0.9,-0.016482990235090256
0.91,-0.02668551355600357
0.92,-0.036837123334407806
0.93,-0.0469324067234993
0.94,-0.05690725892782211
0.95,-0.06668484956026077
0.96,-0.07617009431123734
0.97,-0.08503148704767227
0.98,-0.09198708087205887
0.99,-0.07895198464393616
1.0,-0.023371810093522072
1.01,-0.007161818910390139
1.02,-0.02964072860777378
1.03,-0.030674781650304794
1.04,-0.016305390745401382
1.05,-0.03631022199988365
1.06,-0.03826439008116722
1.07,-0.024943437427282333
1.08,-0.03673449903726578
1.09,-0.0467214472591877
1.1,-0.05660100281238556
1.11,-0.0662945955991745
1.12,-0.07569324225187302
1.13,-0.08440961688756943
1.14,-0.09039534628391266
1.15,-0.0747598186135292
1.16,-0.016530655324459076
1.17,0.0015558053273707628
1.18,-0.0208890363574028
1.19,-0.022753959521651268
1.2,-0.01002082135528326
1.21,-0.018689913675189018
1.22,-0.026929114013910294
1.23,-0.03439174219965935
1.24,-0.02742726169526577
1.25,-0.045614514499902725
1.26,-0.047649823129177094
1.27,-0.03401034325361252
1.28,-0.04525630921125412
1.29,-0.055798258632421494
1.3,-0.06608069688081741
1.31,-0.07605414092540741
1.32,-0.08553317189216614
1.33,-0.0939476490020752
1.34,-0.09315214306116104
1.35,-0.08426663279533386
1.36,-0.07310103625059128
1.37,-0.03966822102665901
1.38,-0.03975846618413925
1.39,-0.023281889036297798
1.4,-0.04144437238574028
1.41,-0.043604448437690735
1.42,-0.030298594385385513
1.43,-0.04103683680295944
1.44,-0.05148611217737198
1.45,-0.0617341548204422
1.46,-0.07171358913183212
1.47,-0.08132409304380417
1.48,-0.09013797342777252
1.49,-0.09626659005880356
1.5,-0.08059560507535934
1.51,-0.02049883082509041
1.52,-0.0005975888925604522
1.53,-0.02084055356681347
1.54,-0.023332461714744568
1.55,-0.011187967844307423
1.56,-0.019236037507653236
1.57,-0.025655964389443398
1.58,-0.013522712513804436
1.59,-0.021677009761333466
1.6,-0.02886510267853737
1.61,-0.01944628730416298
1.62,-0.03241252154111862
1.63,-0.041917990893125534
1.64,-0.05126820132136345
1.65,-0.06037694215774536
1.66,-0.06899461150169373
1.67,-0.07621347904205322
1.68,-0.06496547907590866
1.69,-0.061815422028303146
1.7,-0.09830555319786072
1.71,-0.08999810367822647
1.72,-0.07999913394451141
1.73,-0.049928199499845505
1.74,-0.051215216517448425
1.75,-0.0364607498049736
1.76,-0.04882366210222244
1.77,-0.05873959884047508
1.78,-0.06844842433929443
1.79,-0.07782188802957535
1.8,-0.08640176057815552
1.81,-0.08996059745550156
1.82,-0.07505575567483902
1.83,-0.01808071881532669
1.84,-0.0009881940204650164
1.85,-0.023994004353880882
1.86,-0.026165250688791275
1.87,-0.013619067147374153
1.88,-0.021875958889722824
1.89,-0.029406435787677765
1.9,-0.02328984998166561
1.91,-0.043465543538331985
1.92,-0.044847939163446426
1.93,-0.030508972704410553
1.94,-0.04547418653964996
1.95,-0.048270709812641144
1.96,-0.03557424247264862
1.97,-0.04370519146323204
1.98,-0.04793192446231842
1.99,-0.0346749983727932
2.0,-0.043668489903211594
2.01,-0.05233766511082649
2.02,-0.06036429852247238
2.03,-0.05943315103650093
2.04,-0.05470775067806244
2.05,-0.07762191444635391
2.06,-0.07349828630685806
2.07,-0.09982277452945709
2.08,-0.08907008916139603
2.09,-0.035521384328603745
2.1,-0.020206520333886147
2.11,-0.039545658975839615
2.12,-0.04210938140749931
2.13,-0.029366908594965935
2.14,-0.03830726817250252
2.15,-0.04693260416388512
2.16,-0.05496471747756004
2.17,-0.05511431396007538
2.18,-0.03811539337038994
2.19,-0.05099096521735191
2.2,-0.061071377247571945
2.21,-0.070908322930336
2.22,-0.08037637174129486
2.23,-0.08902058750391006
2.24,-0.09298979490995407
2.25,-0.07740368694067001
2.26,-0.018162354826927185
2.27,0.0008821403025649488
2.28,-0.02043185941874981
2.29,-0.022007469087839127
2.3,-0.008944552391767502
2.31,-0.018978191539645195
2.32,-0.028995443135499954
2.33,-0.03900676965713501
2.34,-0.04897560179233551
2.35,-0.05881831794977188
2.36,-0.06846010684967041
2.37,-0.07775923609733582
2.38,-0.08619264513254166
2.39,-0.08733848482370377
2.4,-0.07069503515958786
2.41,-0.012949378229677677
2.42,0.004563955590128899
2.43,-0.018884820863604546
2.44,-0.02180246077477932
2.45,-0.010188540443778038
2.46,-0.019262131303548813
2.47,-0.028115177527070045
2.48,-0.03663887828588486
2.49,-0.0446200966835022
2.5,-0.04568334296345711
2.51,-0.030703430995345116
2.52,-0.04601020738482475
2.53,-0.04852486774325371
2.54,-0.03549319505691528
2.55,-0.04348977655172348
2.56,-0.045065801590681076
2.57,-0.030967166647315025
2.58,-0.04535965621471405
2.59,-0.04895259439945221
2.6,-0.03666394576430321
2.61,-0.04514129459857941
2.62,-0.05287870764732361
2.63,-0.04772036895155907
2.64,-0.06958430260419846
2.65,-0.06754547357559204
2.66,-0.09085268527269363
2.67,-0.08433167636394501
2.68,-0.10479596257209778
2.69,-0.1008504182100296
2.7,-0.12756046652793884
2.71,-0.10936179012060165
2.72,-0.04588814824819565
2.73,-0.021706698462367058
2.74,-0.023531971499323845
2.75,-0.01071594376116991
2.76,-0.019729027524590492
2.77,-0.028493307530879974
2.78,-0.03687296807765961
2.79,-0.04453413933515549
2.8,-0.039102792739868164
2.81,-0.060475390404462814
2.82,-0.059573568403720856
2.83,-0.054167333990335464
2.84,-0.07625631988048553
2.85,-0.07355280220508575
2.86,-0.10584522038698196
2.87,-0.09338640421628952
2.88,-0.035968221724033356
2.89,-0.017491327598690987
2.9,-0.035990431904792786
2.91,-0.03844045102596283
2.92,-0.025689316913485527
2.93,-0.03460470214486122
2.94,-0.04321097582578659
2.95,-0.05126350373029709
2.96,-0.05254258215427399
2.97,-0.037717025727033615
2.98,-0.04947008192539215
2.99,-0.059894315898418427
3.0,-0.07004668563604355
3.01,-0.07987414300441742
3.02,-0.08905404806137085
3.03,-0.09664291143417358
3.04,-0.08703050017356873
3.05,-0.04544440284371376
3.06,-0.03750083968043327
3.07,-0.052400171756744385
3.08,-0.054911788552999496
3.09,-0.04164960980415344
3.1,-0.047524359077215195
3.11,-0.03313908353447914
3.12,-0.04686366766691208
3.13,-0.054733533412218094
3.14,-0.05163643881678581
3.15,-0.08992557227611542
3.16,-0.08351647108793259
3.17,-0.10428373515605927
3.18,-0.09993875026702881
3.19,-0.1254568248987198
3.2,-0.10647393763065338
3.21,-0.04223037511110306
3.22,-0.017634965479373932
3.23,-0.019081508740782738
3.24,-0.005987979471683502
3.25,-0.016315676271915436
3.26,-0.026576951146125793
3.27,-0.03677080199122429
3.28,-0.046898990869522095
3.29,-0.0569036528468132
3.3,-0.06670763343572617
3.31,-0.07622208446264267
3.32,-0.08512405306100845
3.33,-0.09220366925001144
3.34,-0.07960670441389084
3.35,-0.02475334331393242
3.36,-0.009066682308912277
3.37,-0.031307898461818695
3.38,-0.032022904604673386
3.39,-0.016877587884664536
3.4,-0.037248481065034866
3.41,-0.03874312341213226
3.42,-0.024816744029521942
3.43,-0.04111088812351227
3.44,-0.04328377917408943
3.45,-0.030007578432559967
3.46,-0.040624525398015976
3.47,-0.051022741943597794
